text	positiveTopicClass	negativeTopicClass
Simple Aesthetically very pretty	Design and Materials	NONE
recommended Beautiful, useful and functional.	Design and Materials, Machine Performance	NONE
Excellent Bourbon Capsules I found the excellent product, easy to use. It makes excellent coffee.	Capsules and Compatibility, User Experience, Coffee Quality, Machine Performance	NONE
I recommend buying this coffee machine Coffee immediately hot as soon as the machine turns on and is ready to make coffee	Machine Performance, User Experience, Coffee Quality	NONE
Performance. Use for work ok.	Machine Performance	NONE
Wonderful Perfect !!!!!	Machine Performance	NONE
good coffee For me the mocha remains the best coffee but, comparing the various machines of different brands, this one from Lavazza has pleasantly surprised me. Recommended	Coffee Quality, Machine Performance	NONE
Beautiful really good	Design and Materials, Machine Performance	NONE
Everything good Convenient and easy to use.	User Experience, Machine Performance	NONE
I'm satisfied From 10 stars, from a coffee lover in my opinion it is among the best in the price / quality range, in less than 20 seconds it is ready, with just one button it does everything, I tried 4 different brands of coffee, the density of the coffee does not change, the taste of course yes, I was really satisfied, not dirty, easy to clean and use and then an impeccable packaging, thanks amazon	Price & worth, Machine Performance, Coffee Quality, User Experience, Maintenance and Durability	NONE
It is always ready to use in a few seconds after switching on Beautiful comfortable and compact .. excellent coffee always, even with compatible pods!	Machine Performance, Design and Materials, Coffee Quality, Capsules and Compatibility	NONE
Lavazza In my own way Everything is ok .. I am very pleased I recommend it to everyone ...	Brand Awareness, Machine Performance	NONE
Compact Essential but it works very well	Design and Materials, Machine Performance	NONE
Cute in its simplicity Cute aesthetically and simple to use. Coffee :TOP_arrow:	Design and Materials, User Experience, Coffee Quality	NONE
Practical and fast. Perfect machine.	User Experience, Machine Performance	NONE
Top Fair price, fast and easy installation, quick cleaning. Very small dimensions	Price & worth, Maintenance and Durability, Machine Performance	NONE
Small Tiny from Lavazza, good value for money Great little coffee machine, delicious coffee .. the only flaw that I feel I can confide in you is that the cup vibrates a lot because the machine is quite noisy .. but for this price (48 €) I think it is more than acceptable! .. if you are looking for a good machine at a small price, this is for you!	Price & worth, Coffee Quality, Machine Performance	Machine Performance
Super recommended! The first thing I liked about this machine is above all its compactness, it manages to fit in very little space, then it makes really good coffee !!!! Congratulations to Lavazza! Super recommended!	Design and Materials, Coffee Quality, Machine Performance, Brand Awareness	NONE
Great Excellent product, quick to warm up and comfortable for volume and auto-off at the end of each delivery	Machine Performance, User Experience	NONE
Wonderful Perfect !!!!!	Machine Performance	NONE
EXCELLENT COFFEE MACHINE Great silent coffee machine in an instant turns on and off by itself and makes great coffee, has a nice design and small	Coffee Quality, Machine Performance, Design and Materials	NONE
Ottimk Everything ok 1 day for delivery without prime	Services and Logistics	NONE
It takes up little space and makes a great coffee Love at first sight and at first coffee. The machine is very small takes up little space and is very easy to use and clean, but above all the pods can be found everywhere. It also has different varieties of pods not only coffee but also chocolate, cappuccino, ginseng, tea etc. in short, everything and more in a very small machine that will not take up the whole top of the kitchen. I love it	Design and Materials, Coffee Quality, User Experience, Maintenance and Durability, Capsules and Compatibility	NONE
Coffee is like that of the bar Compact and economical	Coffee Quality, Price & worth, Design and Materials	NONE
Great This is the second one I buy. I needed it for the house in the mountains. Convenient and easy to find capsules even in supermarkets	User Experience, Capsules and Compatibility, Machine Performance	NONE
Great machine Great machine easy to use! Satisfied	Machine Performance, User Experience	NONE
SUPERprime Amazon shipping from SUPER Prime machine ordered at 11.00 pm arrived home the following morning at 09.35 MADE OUT !!! The machine works well is not bulky and makes a good coffee, and a good cream of those that slow down the descent of sugar, especially if you use compatible capsules, maybe it will be only a personal matter but the coffee coming out of the original Lavazza capsules at I don't like it very much. It is slightly noisy but nothing exaggerated ... it does not have a used capsule drawer, but you can still live without it. The machine operates at 15 bar of pressure. For years I have used a modified mokona at 20 bar with espresso point capsules and the taste of coffee is the same but this machine costs half. I would say then that quality / price ratio is 10 and praise !! VERY TOP !!	Services and Logistics, Machine Performance, Coffee Quality, Capsules and Compatibility, Price & worth	Machine Performance
Carina Ok	Design and Materials	NONE
all right article as described. arrived very fast	Services and Logistics, Machine Performance	NONE
In my opinion the best capsule system I have had this car for a few months, not taken here on Amazon, and we are very satisfied with the family. I come from a nespresso and I also had a sweet taste, but this is my favorite. For example, the inissia after each coffee continued to drip copiously, while with the tiny stopping the delivery makes two or three drops and stops. It does not have the capsule holder, which could be a defect for some, but in the end it proves an advantage, as there is never anything to empty. It's a bit noisy, that's true, but nothing unbearable. If this should be a problem, I read that the jolie is quieter, plus it has a capsule holder and the cost is almost the same if you take advantage of the offers. As for coffee, compared to nespresso, the original Lavazza capsules in my own way cost less and are easily found online at the same price as the compatible ones, taking advantage of the offers on quantities. There are many varieties of coffee, therefore for all needs. Among those that I have tried my favorites are passionate and cream and taste, but also with compatibles there are great satisfactions. I tried the Bourbons and a very good coffee comes, ditto with the Izzo. Now I am using the insomnia leopard and they surprised me, an intense and creamy coffee with a rich taste comes out! My advice, if you are undecided between the various systems, is to buy this machine (or in general Lavazza machines in my own way), you will not regret it.	Capsules and Compatibility, Machine Performance, Coffee Quality, Price & worth, Brand Awareness	Machine Performance
Wonderful Perfect !!!!!	Machine Performance	NONE
Coffee in simplicity! Definitely a purchase to be proud of, it is the second time that I buy it for my second home and I am there in a comfortable and effective way. Very short time and how easily to make an excellent coffee. The price is affordable and certainly for the aromas, the ease of cleaning, its pleasant aesthetics, it deserves very much.	User Experience, Machine Performance, Coffee Quality, Price & worth, Maintenance and Durability, Design and Materials	NONE
Super :TOP_arrow: Exactly what I wanted, little one, easy to use and coffee is good! :smiling_face_with_heart-eyes:	User Experience, Machine Performance, Coffee Quality, Design and Materials	NONE
Tinny truly performing Tinny is a guarantee! It's my third Tinny machine. Easy to use, clean and manage. A small, practical and performing machine. I prefer it to others, as there is no container for the pods already used and therefore you must immediately remove the pod already used to make another coffee.	User Experience, Maintenance and Durability, Machine Performance, Design and Materials	NONE
The original capsules are very bitter Simply practical	User Experience, Capsules and Compatibility	Coffee Quality
I can only say Excellent purchase	Price & worth	NONE
Excellent coffee machine Faithful to the Lavazza a Modo brand this is a nice compact model, we hope it will last a long time!	Brand Awareness, Coffee Quality, Machine Performance, Design and Materials, Maintenance and Durability	NONE
Excellent product Great product	Machine Performance	NONE
Great. All OK.	Machine Performance	NONE
Small Comfortable, small, efficient. It is easy to clean and does not leak.	Design and Materials, Maintenance and Durability, Machine Performance	NONE
Good car at a good price Great price performance	Price & worth, Machine Performance	NONE
Great purchase, even for a nice gift Small, compact, light, very easy to use.	Price & worth, User Experience, Machine Performance, Design and Materials	NONE
I gave it to you, liked it. Satisfied with the car, arrived earlier than expected and makes great coffee	User Experience, Services and Logistics, Coffee Quality, Machine Performance	NONE
Excellent purchase in the quality, price and results ratio Excellent purchase. Simple to use. Excellent coffee: warm and good foam.	Price & worth, Coffee Quality, User Experience, Machine Performance	NONE
It vibrates too much Slack. It is not the first machine that I take of this brand but this model works well, but it vibrates absurdly enough to have to keep the cups still	NONE	Machine Performance
Ok Excellent product, essential but with a safe result: perfect coffees. Slight noise to be picky.	Coffee Quality, Machine Performance	Machine Performance
Great Excellent machine I use it with the fantastic Bourbon coffee	Coffee Quality, Machine Performance, Capsules and Compatibility	NONE
Excellent product Great product	NONE	NONE
Excellent coffee machine, but I recommend ..... Excellent coffee machine, simple to use, quick to clean and requires no special maintenance. I recommend using low-limestone bottled water, better NOT to use the so-called mayor (tap) water as it usually contains a LARGER CALCAREOUS CONTENT. For the rest it does its duty, however it depends a lot on the coffee you use, if of better quality, I recommend not to use capsules purchased in discount stores even if compatible.	Coffee Quality, User Experience, Maintenance and Durability	Capsules and Compatibility
beautiful Great product. Coffee is delicious. If I have to be too picky, I say it is a bit noisy.	Design and Materials, Coffee Quality	Machine Performance
An honest espresso. Makes a more than decent espresso, but don't expect that from the bar. However, the quality / price ratio is excellent. It arrived punctually and functioning.	Coffee Quality, Price & worth, Services and Logistics	NONE
Satisfied Excellent product well packaged very easy to use and clean, steals little space, aesthetically designed well. if we want to find a defect in my opinion the connection wire to the socket should be a little longer.	User Experience, Design and Materials, Services and Logistics	User Experience
Excellent machine Excellent coffee machine ... small and functional! I use it with Borbone capsules and the coffee is really good! Excellent purchase	Machine Performance, Coffee Quality, Capsules and Compatibility, Price & worth	NONE
Great coffee machine The coffee machine arrived in the times described. Coffee is good and easy to clean. THE	Machine Performance, Coffee Quality, Services and Logistics	NONE
Excellent purchase Excellent article, functional, comfortable, easy to use, it brews coffee in an instant after it is switched on ... We do not use Borbone red quality baby scrubber.	Machine Performance, User Experience	NONE
coffee machine my review comes from a use of a few days so it will then be reassessed with time but at the moment I would say that the machine works well, it is very pretty, takes up very little space and is very easy to use, I put 4 stars only for the small flaw of too much noise ... otherwise I would say perfect!	Machine Performance, Design and Materials, User Experience	Machine Performance
All right for now Beautiful functional product	Design and Materials, Machine Performance	NONE
Lavazza does not disappoint Lavazza never disappoints! Very simple to use and clean and with compatible pods very easy to find! I have been using it for two months and for the moment it has not given me any problems!	Brand Awareness, User Experience, Capsules and Compatibility, Maintenance and Durability	NONE
good prdotto Fast delivery and product without any problem	Services and Logistics	NONE
Great product I already had previous version I took tiny because it is easy to use and the price / quality ratio is excellent	User Experience, Price & worth	NONE
The machine is simply perfect and makes good coffee. Simple to use, it takes up little space and requires very little cleaning compared to other machines I've used previously. As for coffee it is good, but since I have been using it for a very short time I have to try the various flavors to find the one I like best. I recommend this machine to everyone, also because given its construction simplicity it is more difficult to break down.	Machine Performance, Coffee Quality, User Experience, Maintenance and Durability	NONE
beautiful, compact, very easy to use beautiful, compact, very easy to use, its coffee is fantastic, very hot only in a few moments from the ignition, creamy and with the typical and unique flavor of the gold quality lavazza that we have enjoyed for years in the traditional moka pot. I absolutely recommend it!	Design and Materials, User Experience, Coffee Quality, Machine Performance, Brand Awareness	NONE
Great product. Great price Simplicity and design	Price & worth, Design and Materials	NONE
Perfect machine Product just arrived beautiful coffee machine I will definitely use it for a good coffee thanks again Amazon	Design and Materials, Machine Performance	NONE
Very noisy and too much vibration I replaced my Saeco Piccina model of Lavazza in my own way, buying this slimmer and more attractive design machine. However, as soon as I installed it, I was forced to call Lavazza's customer service, because the machine was very noisy and above all it was vibrating too much. So much so that the kitchen cabinet on which it rested vibrates. At the call center they responded punctually and precisely, making a live video of the operations that gradually showed me to do. All in all it seemed better than at the beginning. But this morning I can tell you that the pans contained in the kitchen cabinet also vibrated. A nightmare!!!! I am trying to proceed with the return of the product.	Machine Performance, Services and Logistics	Machine Performance
Great coffee. Espresso like in the bar.	Coffee Quality	NONE
Good product Easy to use, excellent value for money. Good coffee	User Experience, Price & worth, Coffee Quality	NONE
easy to use, the pods are easily found and the coffee is excellent I gave it to my son who had bought a bialetti machine more difficult to use and with unobtainable cilde, we are happy, the price is also good	User Experience, Capsules and Compatibility, Coffee Quality, Price & worth	NONE
Negative experience unfortunately Unfortunately negative experience the machine is aesthetically beautiful but very plasticy the loading system with the drawer seems fragile and impractical. Unfortunately the problem was above all the pump that didn't do its job and didn't allow to have a coffee in a reasonable time. Made very slow as usual	Design and Materials, Machine Performance, User Experience	Machine Performance
Works well He does his job	Machine Performance	NONE
Second machine purchased but within a year it breaks down! Unfortunately it is the second Lavazza machine purchased in my own way (One in the shop and one on Amazon) easy to use but within a year it no longer dispenses the coffee; The same defect in two machines I don't know if it was bad luck but sending it in assistance through Amazon refunded me.	User Experience, Maintenance and Durability, Services and Logistics	Machine Performance
Great gift! Small, elegant, it does not accumulate old capsules. Taken to make a gift and I know for sure that it is used very often and the recipients are very satisfied!	Design and Materials, User Experience	NONE
Small in size but super functional. The main feature of this machine is the very small size that even allows it to be taken on vacation or on business trips if it is not present in the hotel. It works well and is also quiet.	Machine Performance, Design and Materials	NONE
Works well He does his job	Machine Performance	NONE
good for now small but practical and efficient, nice line	Design and Materials, Machine Performance	NONE
Council Splendid and compact	Design and Materials	NONE
Excellent machine. Perfect nothing to say this is the 2 that I take.	Machine Performance, Brand Awareness	NONE
Excellent machine easy to use !! Fast delivery and simple and easy to use machine! There are many choices of capsules available	Machine Performance, User Experience, Capsules and Compatibility, Services and Logistics	NONE
EXCELLENT price quality ... compared to my old model A little too noisy and some vibrations at the moment of dispensing	Price & worth, Machine Performance	Machine Performance
Great It takes up little space and quickly warms up. I recommend it!	Design and Materials, Machine Performance	NONE
Interesting purchase Excellent product, more than acceptable price quality. Fast delivery. I recommend it to everyone.	Price & worth, Services and Logistics, Machine Performance	NONE
Great product Small but very comfortable to use.	Design and Materials, User Experience	NONE
Serious company. Great coffee. I use it a lot Great everything. I had arrived with a flaw, the whole machine was replaced immediately.	Coffee Quality, Brand Awareness, Services and Logistics	Machine Performance
To do check He trembles exaggeratedly I will have to bring it to assistance	Machine Performance	Machine Performance
Excellent value for money! I really like	Price & worth	NONE
Lavazza Compared to minù this device vibrates more so the cup tended to slide forward making coffee For the rest, I'm happy	Machine Performance	Machine Performance
Noisy and vibrating In my opinion too noisy. When you put the glass and start it vibrates a lot and if the cup is light you risk dropping it. Overall ok for what it costs.	Machine Performance	Machine Performance
Great Great car	Machine Performance	NONE
great product I have this coffee machine at home and I also bought it for the office because I find it very good, not bulky and of excellent price / quality ratio	Machine Performance, Design and Materials, Price & worth	NONE
too vibrant too noisy	Machine Performance	Machine Performance
Creamy coffee, good product. Product that respects the description. Excellent value for money. Very easy to use and clean. The small size makes it very suitable for occupying small spaces. The coffee turns out to be very creamy. Right compromise between quality and economy. Satisfied with the purchase.	Coffee Quality, Price & worth, User Experience, Design and Materials	NONE
Ok. As from description. All right.	NONE	NONE
Always precise recommended	NONE	NONE
The tiny machine is simply fantastic. What well-being, what beauty, a wonderfully made coffee. So far the best! Highly recommended if you want to try a good coffee.	Coffee Quality, Brand Awareness, Machine Performance	NONE
Sold as new but used It is a scandal. They sent me the machine in a dough package, without its original container without the instructions and I suspect it was established at this point that it was USED !!!!	Services and Logistics	Services and Logistics
Lavazza this time you messed up ... zero stars! I purchased the Lavazza Tiny model to replace the previous Jolie model, a huge disappointment! The machine has multiple faults: excessively noisy with high vibrations (they cannot be justified for a new product), the platform that holds the cup is too small (it ends up falling) and finally it does not have a waffle collector, for each coffee you have to empty and reinsert the new one! Worse than that !. The negative review is dictated by the fact that it has always been a faithful (but this time disappointed) buyer of Lavazza,	Brand Awareness, Machine Performance, User Experience	Machine Performance
fantastic Amazon never disappoints, we were on a camping trip and the old coffee machine was broken, we decided to buy this and have it shipped to the place, beautiful machine, easy to use, medium size and does not take much space, the coffee is hot to despite some reviews that said it remained cold, we are very satisfied, amazon is always the best.	Services and Logistics, Design and Materials, User Experience, Coffee Quality	NONE
I recommend it It is versatile, small, comfortable, beautiful, light, economical and fast	Design and Materials, Machine Performance, User Experience, Price & worth	NONE
The guarantee does not exist It has already broken the socket on November 23, 2018 and June 2019, not even 1 year broke ...	Maintenance and Durability	Maintenance and Durability
economic Economic machine. Do your ... But it is very noisy and vibrates a lot. we hope it lasts more than a year	Price & worth, Machine Performance	Machine Performance
great car. I liked everything.	NONE	NONE
good car, great coffee I bought this machine to replace a nespresso that was turned off after a year and a half, I already have a minu and to have the same type of capsules I took this for the price lower than the minù although aware of the vibrations as stated by other customers, actually they are right but they are minimal and not always vibrating, for safety I applied some rubber pads that are used for the furniture doors so that the cup does not slip, compared to the minù it is less noisy and the tank is bigger (but I prefer the minù ), I chose this type of machine because it does not have the used capsule drawer and the quantity of coffee is manually adjustable and then the capsules in my own way have 7g of coffee (I use the borbone capsules), the coffee is excellent like the minù .	Coffee Quality, Price & worth, Machine Performance, Capsules and Compatibility	Machine Performance, User Experience
Choose good quality waffles Easy to use good coffee!	Coffee Quality, User Experience	NONE
Excellent coffee even with compatible pods but it vibrates and makes a lot of noise Machine well functioning, strong pressure that works well even with compatible pods. Excellent coffee. 4 stars, however, because it is very noisy and vibrates a lot.	Coffee Quality, Capsules and Compatibility, Machine Performance	Machine Performance
Perfect. Respect the specifications.	NONE	NONE
Defective item It is faulty, the wafer is stuck at the first coffee .... I would like to replace it with the same product	Machine Performance	Machine Performance
Excellent coffee machine. I liked it used to have breakfast.	Coffee Quality	NONE
emergency machine in case of failure of the machine in use I appreciate the capacity of the water tank, unfortunately we use tap water and the machine has a tendency to scale, sometimes it gets completely clogged and in that case I disassemble it and proceed to manual descaling. In the meantime I use the emergency car, which was bought for this purpose.	Maintenance and Durability, User Experience, Machine Performance	NONE
Tiny rossa Purchased for the office. For now everything is fine, it works, it is simple to use.	Machine Performance, User Experience	NONE
Lavazza machine in my own way Tiny A super Lavazza coffee machine in my own way	Machine Performance, Brand Awareness	NONE
Great product Arrived in 24 hours ..	Services and Logistics, Machine Performance	NONE
Going Home fantastic	NONE	NONE
Good coffee but noisy It's a little too noisy	Coffee Quality	Machine Performance
Well done! Good	NONE	NONE
Perfect Easy to use, it takes up little space	User Experience, Design and Materials	NONE
good product Machine bought for an elderly person, and was very happy with the ease of use and the quality of the coffee compared to the previous machine	User Experience, Coffee Quality	NONE
For a good coffee. Excellent value for money. It outperforms other machines that cost much more.	Coffee Quality, Price & worth	NONE
Fabulous coffee machine! Great purchase !!! Satisfied with the product and delivery in record time! The machine is easy to use, to clean, but above all it makes a very good coffee !!! I highly recommend !!!	Coffee Quality, User Experience, Machine Performance, Services and Logistics	NONE
Good and creamy coffee Excellent creamy coffee. I use Bourbon gold or blue quality coffee. I drink the gold one because I like the strong taste, my wife drinks the blue because it says it is less strong than mine.	Coffee Quality, Capsules and Compatibility	NONE
All right nice car, coffee is not bad but lavazza pods taste really bad. I had to opt for others that meet my taste more	Machine Performance	Capsules and Compatibility
lavazza my way Fantastic coffee is delicious	Coffee Quality, Brand Awareness	NONE
Surprised Before this I had a pod machine that made good coffee, but after trying this despite the fact that they are capsules, I was truly amazed by the good taste of the coffee. Ginseng is also excellent. Beautiful non-bulky machine !!!	Coffee Quality, Design and Materials, Capsules and Compatibility	NONE
coffee not up to par I was a little disappointed with the taste of coffee. I thought it was better, instead it comes out a little watered down. sin. The machine, however, is very simple to use having only one button for any operation, switching on, switching off, coffee dispensing, stop dispensing. also easy to clean.	User Experience	Coffee Quality
September epilation great product recommend it !!. . . . . . ............ ..... ........ . . . . . . . . .	NONE	NONE
Super recommended! Small, beautiful design and easy to use !!!	Design and Materials, User Experience	NONE
Great product heir to the already good Minù, has an excellent price / quality ratio, has an optimal yield, delivers a full-bodied and creamy coffee with the right pods. It heats the water in a few seconds, you do not have the waffle collector but it is very practical to use, with a single button turns on then when it stops flashing, the capsule is inserted, the usual key is pressed again to start the dispensing which we block when the desired quantity is reached by pressing it again. If we really want to find a defect, perhaps a little too much!	Machine Performance, Price & worth, Coffee Quality, User Experience	Machine Performance
Make coffee with foam good Perfect delicious coffee	Coffee Quality	NONE
So loud Small, compact, very pretty. Excellent coffee, very easy to clean and use. The only drawback is that it vibrates a lot, with excessive noise.	Design and Materials, Coffee Quality, User Experience	Machine Performance
recommended Exceptional value for money. Very good coffee. Furthermore, the car is not bulky.	Price & worth, Coffee Quality, Design and Materials	NONE
Great product Bought to make a gift, I know the product so I can only confirm that it is a good product	Machine Performance	NONE
N The only flaw is noise	NONE	Machine Performance
Better than those in the bar and much more comfortable Practical small excellent coffee easy to clean. Only care for a better success do not use tap water if very calcareous	Coffee Quality, User Experience, Machine Performance	Maintenance and Durability
Excellent purchase Excellent compromise of practicality and good finished product	User Experience, Machine Performance	NONE
Great coffee in a small space! Excellent value for money. I bought this machine for the beach house, takes up little space and has a nice design. Easy to use.	Coffee Quality, Price & worth, Design and Materials, User Experience	NONE
Excellent purchase It is contained in the dimensions, very easy to use and the coffee is excellent. 5 stars without a doubt, I recommend it	Design and Materials, User Experience, Coffee Quality	NONE
Economic which does not hurt Excellent and above all compact it is possible to find a wide range of compatible capsules	Price & worth, Design and Materials, Capsules and Compatibility	NONE
Lavazza tiny I purchased this model which is the last of the small version of Lavazza, since the previous jolie did not work anymore after just over two years! For the moment it seems to work well and makes good coffee! Recommended for those with limited space but want quality coffee!	Machine Performance, Coffee Quality, Design and Materials, Maintenance and Durability	NONE
Coffee in my own way I took it to replace another older model that abandoned me after 3 years, very aesthetically beautiful, little cluttered and it is easy to replace the water in the tank and clean the various parts. The only drawback is too noisy, when it brews the coffee it makes the whole kitchen vibrate ..	Design and Materials, Maintenance and Durability, Machine Performance	Machine Performance
Perfect for those who want a good coffee and not sought after things Small, not cluttered, easy to use and clean	Coffee Quality, User Experience, Design and Materials	NONE
Recommended Excellent coffee. Creamy and good. Highly recommended purchase	Coffee Quality	NONE
Unwanted drip I find the persistent dripping of the pod after the end of the delivery annoying enough, isn't there a way to avoid it? The lack of a capsule drawer seems to me a somewhat negative aspect ..	User Experience	User Experience
excellent manageability practicality	User Experience	NONE
Lavazza coffee machine in my own way Good afternoon the car arrived on a predetermined date working more tank thanks to my old minu fast heating a few seconds and is ready the advice to all exceptional seller	Machine Performance, Services and Logistics	NONE
Appliance Great product ... easy to use and clean	User Experience, Machine Performance	NONE
comfortable Excellent immediately ready for a good coffee	User Experience, Machine Performance	NONE
